iteration,timestamp,current_simulations,replay_buffer_size,training_mode,opponent_games,self_play_games,initial_loss,final_loss,loss_reduction,loss_reduction_pct
1,2025-12-04T11:13:49.388815,25,1908,self-play (warm-up),0,50,3.234241008758545,2.1352429389953613,1.0989980697631836,33.980091984085966
2,2025-12-04T11:15:10.454435,25,3754,self-play (warm-up),0,50,2.5203046798706055,2.020691394805908,0.49961328506469727,19.823527252679142
3,2025-12-04T11:16:32.931290,25,5585,self-play (warm-up),0,50,2.466437339782715,2.1265382766723633,0.33989906311035156,13.780972969712483
4,2025-12-04T11:19:07.664956,50,7363,self-play (warm-up),0,50,2.3958003520965576,2.1693248748779297,0.22647547721862793,9.453019614945791
5,2025-12-04T11:21:41.973066,50,9095,self-play (warm-up),0,50,2.633718729019165,2.258007764816284,0.37571096420288086,14.265417186094167
6,2025-12-04T11:24:36.508553,50,10846,self-play (warm-up),0,50,2.5465385913848877,2.3890998363494873,0.1574387550354004,6.182460991089094
7,2025-12-04T11:27:18.246229,50,12688,self-play (warm-up),0,50,2.4426608085632324,2.380025625228882,0.06263518333435059,2.5642194411426473
8,2025-12-04T11:30:04.842737,50,14597,self-play (warm-up),0,50,2.3384058475494385,2.101367950439453,0.23703789710998535,10.136730429338952
9,2025-12-04T11:32:49.353367,50,16445,self-play (warm-up),0,50,2.180633068084717,2.2277371883392334,-0.0471041202545166,-2.1601121685221836
10,2025-12-04T11:35:18.651970,50,18178,self-play (warm-up),0,50,2.3159737586975098,2.2122764587402344,0.10369729995727539,4.477481645370376
11,2025-12-04T11:40:54.145888,100,19932,self-play (warm-up),0,50,2.237445116043091,2.1079089641571045,0.12953615188598633,5.789467234622957
12,2025-12-04T11:46:34.716842,100,21884,self-play (warm-up),0,50,2.2491650581359863,2.298748731613159,-0.04958367347717285,-2.204536892381999
13,2025-12-04T11:52:23.333543,100,23863,self-play (warm-up),0,50,2.2757081985473633,2.4378275871276855,-0.16211938858032227,-7.123909325624735
14,2025-12-04T11:57:32.534768,100,25636,self-play (warm-up),0,50,2.3590075969696045,2.2446725368499756,0.1143350601196289,4.846744040439057
15,2025-12-04T12:03:03.772229,100,27504,self-play (warm-up),0,50,2.592726707458496,2.601541519165039,-0.008814811706542969,-0.33998229281880743
16,2025-12-04T12:09:28.775926,100,29572,self-play (warm-up),0,50,2.4388256072998047,2.742785692214966,-0.30396008491516113,-12.463379259482874
17,2025-12-04T12:14:35.657233,100,31327,self-play (warm-up),0,50,2.702597141265869,2.494163751602173,0.2084333896636963,7.712336643931629
18,2025-12-04T12:19:53.770815,100,33159,self-play (warm-up),0,50,2.745225429534912,2.642685890197754,0.1025395393371582,3.7351955957412994
19,2025-12-04T12:25:04.867907,100,34951,self-play (warm-up),0,50,2.48521089553833,2.756873369216919,-0.27166247367858887,-10.931163796452902
20,2025-12-04T12:30:42.394088,100,36878,self-play (warm-up),0,50,2.666367769241333,2.473139524459839,0.19322824478149414,7.246871456013502
21,2025-12-04T12:37:04.626077,100,38898,self-play (warm-up),0,50,2.561453104019165,2.5576069355010986,0.0038461685180664062,0.15015572653004655
22,2025-12-04T12:42:08.240148,100,40638,self-play (warm-up),0,50,2.396299362182617,2.7233433723449707,-0.3270440101623535,-13.647877862157948
23,2025-12-04T12:47:26.791626,100,42451,self-play (warm-up),0,50,2.719902753829956,2.5989532470703125,0.12094950675964355,4.4468320269661055
24,2025-12-04T12:52:30.336020,100,44135,self-play (warm-up),0,50,2.611865520477295,2.6007039546966553,0.011161565780639648,0.42734075292666573
25,2025-12-04T12:57:58.126635,100,45985,self-play (warm-up),0,50,2.612363815307617,2.505114793777466,0.10724902153015137,4.1054397133242455
26,2025-12-04T13:03:46.391109,100,47870,self-play (warm-up),0,50,2.6706161499023438,2.6456589698791504,0.02495718002319336,0.9345101887482394
27,2025-12-04T13:09:27.822417,100,49830,self-play (warm-up),0,50,2.560181140899658,2.612506866455078,-0.05232572555541992,-2.0438290369185537
28,2025-12-04T13:15:11.396680,100,50000,self-play (warm-up),0,50,2.544773817062378,2.7035088539123535,-0.15873503684997559,-6.237687443405688
29,2025-12-04T13:20:44.851107,100,50000,self-play (warm-up),0,50,2.6405978202819824,2.799121856689453,-0.1585240364074707,-6.00333891022232
30,2025-12-04T13:25:52.643775,100,50000,self-play (warm-up),0,50,2.790494680404663,2.533385753631592,0.2571089267730713,9.213740079081129
31,2025-12-04T13:31:29.278139,100,50000,self-play (warm-up),0,50,3.0275087356567383,2.6776986122131348,0.3498101234436035,11.5543885744634
